"['Stack,1,Language,10']"
"['Stack,1,Language,11']"
"['Stack,1,Technology,3']"
"['Stack,1,Technology,4']"
"['Stack,2,Language,2']"
"['Stack,2,Language,3']"
"['Stack,2,Language,7']"
"['Stack,2,Technology,1']"
"['Stack,2,Technology,2']"
"['Stack,3,Language,3']"
"['Stack,3,Language,10']"
"['Stack,3,Technology,3']"
"['Stack,3,Technology,4']"
"['Stack,4,Language,5']"
"['Stack,4,Technology,14']"
"['Stack,5,Language,6']"
"['Stack,5,Technology,9']"
"['Stack,5,Technology,10']"
"['Stack,6,Language,6']"
"['Stack,6,Technology,7']"
"['Stack,8,Language,16']"
"['Stack,9,Language,3']"
"['Stack,9,Language,4']"
"['Stack,10,Language,1']"
"['Stack,10,Language,2']"
"['Stack,10,Language,3']"
"['Stack,10,Technology,11']"
"['Stack,10,Technology,12']"
"['Stack,11,Language,14']"
"['Stack,11,Language,15']"
"['Stack,11,Technology,13']"
"['Technology,1,Language,3']"
"['Technology,2,Language,2']"
"['Technology,3,Language,10']"
"['Technology,4,Language,10']"
"['Technology,6,Language,6']"
"['Technology,7,Language,6']"
"['Technology,8,Language,12']"
"['Technology,9,Language,6']"
"['Technology,10,Language,6']"
"['Technology,11,Language,1']"
"['Technology,11,Language,10']"
"['Technology,12,Language,1']"
"['Technology,12,Language,10']"
"['Technology,13,Language,14']"
"['Technology,14,Language,15']"
